mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__subsample,param_model__n_estimators,param_model__min_child_weight,param_model__max_depth,param_model__learning_rate,param_model__gamma,param_model__colsample_bytree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
10.205223226547242,0.39147214011002907,0.055976486206054686,0.004802005811211285,0.9,500,3,10,0.03,0.1,1.0,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__gamma': 0.1, 'model__colsample_bytree': 1.0}",0.8593984104470497,0.8183968992973757,0.859961239557038,0.8818384312669518,0.8954202313591705,0.8761658287485927,0.8514136174336921,0.8594184331393366,0.904160637651914,0.8509225209976917,0.8657096249898814,0.023461998726666208,11,0.9910705786457422,0.9882433189692592,0.9894705085096942,0.9890974752640028,0.9899020716623735,0.9897271057948409,0.9914344273570237,0.9894048549920266,0.9879003170037344,0.9896781962270428,0.9895928854425741,0.001033325862054427
5.7660791873931885,1.520654041473669,0.06382086277008056,0.004350041109126598,0.7,1000,5,6,0.01,0.1,0.6,"{'model__subsample': 0.7, 'model__n_estimators': 1000, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.01, 'model__gamma': 0.1, 'model__colsample_bytree': 0.6}",0.8631203075047161,0.8054967604027957,0.8410680486398625,0.8630292265964364,0.8645716915953002,0.8731779778720725,0.8392358535611903,0.8328981175924473,0.8705455450632622,0.8522111852841192,0.8505354714112203,0.01996060333525833,25,0.9357547771640791,0.9380713780386288,0.9389074735679303,0.9380068075738934,0.9348826412482247,0.9347110122063171,0.939476023582338,0.9390738966378978,0.9325975533341737,0.9371038946637816,0.9368585458017265,0.002160953465690498
3.180275392532349,0.21852764409050648,0.05352621078491211,0.006914607744756307,0.9,1000,1,4,0.01,0.5,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 1000, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.01, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}",0.840703763965266,0.784534225227095,0.8108272868246525,0.8405238047819851,0.8351038246579938,0.8429531799766187,0.8149682699354504,0.8096816575283762,0.8471129867252198,0.829382044383449,0.8255791044006108,0.018948523658286937,27,0.9040368037619232,0.9080177272629678,0.9087292371649678,0.9059235194715086,0.9041768374504515,0.9009269426811288,0.909340298882513,0.9100516462798719,0.9037993455623932,0.9076644460295877,0.9062666804547312,0.0028091865350125802
1.290219235420227,0.09474236742302893,0.03640027046203613,0.00321393041935725,1.0,500,1,4,0.1,0.3,0.8,"{'model__subsample': 1.0, 'model__n_estimators': 500, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 0.8}",0.8608338418822823,0.8176837970817188,0.8428097841620352,0.8655040822472946,0.8734546271377911,0.8730601490009973,0.8302866202851635,0.8408385902470341,0.8875012903558973,0.854973659827855,0.8546946442228069,0.020539987517840592,22,0.9647814957964456,0.9634672761727847,0.9626460454174388,0.9616611200210969,0.9639288686929414,0.9617166422766694,0.9637088248742514,0.9642658050778834,0.9591182136533559,0.9624452688520166,0.9627739560834885,0.0015744678592069486
6.235351872444153,0.22997816727443146,0.05365521907806396,0.0023208145536005105,0.9,500,3,10,0.03,0.5,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 500, 'model__min_child_weight': 3, 'model__max_depth': 10, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}",0.8673773819370549,0.8281538639603714,0.8749350808008881,0.8830659238483077,0.8958760520019197,0.8820026943138892,0.8593428115247108,0.8626076489246041,0.903030419807775,0.8507690095520529,0.8707160886671573,0.020953805550747336,2,0.9902811775129629,0.9884883934495563,0.9887175021119631,0.9887644835121627,0.9891334946925123,0.989185682164166,0.9911168137339023,0.9890728759607937,0.9877840640344797,0.9892252997764396,0.989176978694894,0.0008827788976142558
9.416292762756347,0.3880325232902906,0.06640617847442627,0.002659573914129677,0.8,800,3,8,0.01,0.0,1.0,"{'model__subsample': 0.8, 'model__n_estimators': 800, 'model__min_child_weight': 3, 'model__max_depth': 8, 'model__learning_rate': 0.01, 'model__gamma': 0, 'model__colsample_bytree': 1.0}",0.8625200949047485,0.8142634408366183,0.8551954251803531,0.880681095471861,0.8871232123187681,0.8732358909437142,0.8483196832430433,0.854312436749411,0.8958373331402611,0.8524643625244286,0.8623952975313207,0.022163792045850866,16,0.9678134557981152,0.9664531302935024,0.9679052005703661,0.9673622252086052,0.966173862080361,0.965833648310684,0.968931191720646,0.9687116279343679,0.9651469499140148,0.9665784889968634,0.9670909780827526,0.001189206449287492
1.2880688428878784,0.08440213940442015,0.037430763244628906,0.0055589024982839646,0.9,300,5,6,0.05,0.0,0.6,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__min_child_weight': 5, 'model__max_depth': 6, 'model__learning_rate': 0.05, 'model__gamma': 0, 'model__colsample_bytree': 0.6}",0.8660020707856564,0.816374952746981,0.8513069662268498,0.8709359699770772,0.8765964496904092,0.8763856850390428,0.8479203049836096,0.8482878255890829,0.8811196161341723,0.855787677794166,0.8590717518967047,0.018483847416916256,20,0.9532496647381803,0.9553456914973951,0.9546209212440778,0.9559737401430942,0.951067010495568,0.9521829581497804,0.9582428564474929,0.9569026835489451,0.9515889079610336,0.9546603622598233,0.954383479648539,0.0022308166625506576
2.2878502130508425,0.15670345134134678,0.04120888710021973,0.0014656111884954089,0.9,800,1,4,0.1,0.1,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.1, 'model__gamma': 0.1, 'model__colsample_bytree': 0.8}",0.8694127510699978,0.8124967799626702,0.8576561860931788,0.873610305004162,0.8859591037890705,0.8797985689658137,0.8503993862961059,0.8580062635819038,0.8933314957131532,0.8560541947330927,0.8636725035209147,0.02165543811181819,13,0.9837161627344044,0.9841739185709603,0.9859883796447422,0.9848960195105083,0.9835146813143918,0.9835627381319162,0.9854738572801366,0.98390680078335,0.9830299586907928,0.9845122202264229,0.9842774736887625,0.0008892931240006774
2.3333810329437257,0.14248178839823084,0.04476494789123535,0.005079311390551793,0.9,800,1,4,0.03,0.5,0.8,"{'model__subsample': 0.9, 'model__n_estimators': 800, 'model__min_child_weight': 1, 'model__max_depth': 4, 'model__learning_rate': 0.03, 'model__gamma': 0.5, 'model__colsample_bytree': 0.8}",0.8613516106797506,0.8146993582979869,0.843085545870939,0.8661298897783363,0.8696706719960007,0.8698944431911325,0.8406695897977963,0.8455168545771454,0.8744665618647337,0.8478798992408043,0.8533364425294625,0.01750612959232255,23,0.9494698238531143,0.9499952652994169,0.9502173045449662,0.9475545198420164,0.9471128539249617,0.9466708976850957,0.9516227650774517,0.9504357472172507,0.9456371875095299,0.9508047397461177,0.9489521104699922,0.0019300646274957106
1.8263646841049195,0.12168418109540982,0.036307883262634275,0.002478265719322652,0.9,300,3,6,0.1,0.3,1.0,"{'model__subsample': 0.9, 'model__n_estimators': 300, 'model__min_child_weight': 3, 'model__max_depth': 6, 'model__learning_rate': 0.1, 'model__gamma': 0.3, 'model__colsample_bytree': 1.0}",0.8598943324643992,0.824880979327187,0.8639139773011681,0.8772990917646108,0.8959025772643128,0.8760191875391722,0.851673373858015,0.8627780721489497,0.9014674763517965,0.8571469210205027,0.8670975989040113,0.020963127001657273,7,0.980858382517953,0.9804629276823033,0.9805903289097714,0.9795307308405578,0.98132002979527,0.9793787891169572,0.982547831430725,0.9806171737018398,0.9782562985937417,0.9790080301802686,0.9802570522769388,0.001178316355559088
