mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__n_estimators,param_model__min_samples_split,param_model__min_samples_leaf,param_model__max_features,param_model__max_depth,param_model__bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
12.432040023803712,2.220506967497338,2.3301578998565673,1.6338421065578246,600,8,1,,10,True,"{'model__n_estimators': 600, 'model__min_samples_split': 8, 'model__min_samples_leaf': 1, 'model__max_features': None, 'model__max_depth': 10, 'model__bootstrap': True}",0.8377393944918398,0.752548073204621,0.8060807606238638,0.8381877055405756,0.8115403696542222,0.8357213640089391,0.7930328263644906,0.801930400315329,0.8413385667015473,0.8115176282600559,0.8129637089165485,0.02606461789213162,14,0.9078705938762482,0.9027292182601886,0.9092149579159932,0.9074941836143422,0.9057809451359572,0.9072102690565425,0.9092724689047028,0.9095935899382266,0.8971067082143597,0.9125495932478376,0.9068822528164399,0.004075603777219628
10.252121734619141,0.9791799253730639,3.382685112953186,0.5981553131373359,600,8,4,sqrt,30,False,"{'model__n_estimators': 600, 'model__min_samples_split': 8, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': False}",0.7777932729676332,0.7464199042635912,0.7649834338864566,0.7745180354660107,0.7731913580658275,0.7915772164527394,0.7750481059243715,0.7426891495214132,0.781610763611261,0.7708060920050704,0.7698637332164375,0.014299424784110082,21,0.8338264739759489,0.8448471374477429,0.8439076319687504,0.835277788594901,0.8356777099904448,0.8314946167746987,0.8453998502620599,0.8469828151897232,0.8414609820947317,0.834329291732652,0.8393204298031653,0.005457023942931402
9.127836656570434,2.1979901986121737,3.624127507209778,1.615290060066091,200,3,3,,25,False,"{'model__n_estimators': 200, 'model__min_samples_split': 3, 'model__min_samples_leaf': 3, 'model__max_features': None, 'model__max_depth': 25, 'model__bootstrap': False}",0.7646849519951805,0.7278296891908487,0.7711166798325345,0.7962467033578328,0.7925584957974672,0.827507669598982,0.666716070417368,0.7930125173386481,0.8281577492686222,0.7834827409292605,0.7751313267726745,0.04561873307990472,19,0.9367735862057865,0.9452555545696707,0.9351099040269409,0.932069585614772,0.9367338618003704,0.9399948595236182,0.9394829803919589,0.934176435411254,0.9304185084418231,0.9408420241389909,0.9370857300125186,0.004210324206544167
20.105737829208373,5.060558903214645,7.193988394737244,3.399718798217959,400,2,2,,25,False,"{'model__n_estimators': 400, 'model__min_samples_split': 2, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 25, 'model__bootstrap': False}",0.776866925594024,0.7445907775288885,0.7523792324806156,0.7680558944752401,0.7854853487295104,0.8334859326128314,0.669564888284272,0.7894055904134942,0.8131446591166928,0.7635083330433599,0.7696487582278929,0.04200413332036898,22,0.9663427259354418,0.9674908311425008,0.9642462431252288,0.9555872632939132,0.9696598920114552,0.9648200133050434,0.9607126219583099,0.9649656805319757,0.9589127273191189,0.9687092830010283,0.9641447281624016,0.004252099027783872
30.75173122882843,8.653949150599086,2.7341217756271363,0.9621087425185937,1000,8,2,,10,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 8, 'model__min_samples_leaf': 2, 'model__max_features': None, 'model__max_depth': 10, 'model__bootstrap': False}",0.7561630046935732,0.6991365237786579,0.6681971699360874,0.7247139220042329,0.728897249305947,0.7761258855227858,0.6395252836178389,0.7301190659150073,0.8189598973725907,0.7417863362551778,0.72836243384019,0.048810916906580334,24,0.8694332759490829,0.8544593834964724,0.8511108374042253,0.8495217925063905,0.8694919829221255,0.8790858406974817,0.8678189711291165,0.8566520627743259,0.8647775948216103,0.8846615731043332,0.8647013314805164,0.011158855863283872
4.638239693641663,0.537719837193949,3.2182835817337034,0.9320282104713024,600,2,4,log2,,False,"{'model__n_estimators': 600, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': 'log2', 'model__max_depth': None, 'model__bootstrap': False}",0.5915002367580614,0.5734788784308785,0.6043578095331956,0.5886278663802835,0.601187214740007,0.6080957379275422,0.5872190906870441,0.5785346709722303,0.6147796693937571,0.5863448969477041,0.5934126071770705,0.012593479506212379,28,0.6402532064515392,0.6492449150981441,0.6443469306087904,0.6439101751006837,0.6393017174146552,0.6284966999264104,0.6411093001326437,0.6602128823394408,0.6615507802775287,0.634683298797601,0.6443109906147437,0.009844691745102361
45.52491998672485,8.560117872229698,7.946015763282776,3.3278232917503954,1000,2,4,,30,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 2, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': 30, 'model__bootstrap': False}",0.7689943841685144,0.7372212107874232,0.7809021949217456,0.7729503749920049,0.8003872007297772,0.8168768741776005,0.6449269223258255,0.7905251686951107,0.8157689704865525,0.7788186263452264,0.7707371927629781,0.0474926686554601,20,0.9184969139169976,0.9264970689566777,0.9115404807915113,0.9119911519767372,0.9196545535262491,0.9167540763747176,0.9222198739475653,0.9149797196929366,0.9103142295907832,0.9198465327626553,0.917229460153683,0.004878949508489636
34.80352532863617,15.036674039502724,2.4285831689834594,0.729935663027292,1000,5,4,,,True,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': None, 'model__max_depth': None, 'model__bootstrap': True}",0.8523459393294879,0.7689748751189363,0.8238611990338347,0.8496568066478793,0.8354375140356896,0.8447814019413616,0.7946034351395974,0.8183530756072521,0.8536862814277443,0.8265301825904667,0.8268230710872249,0.025992800229467223,7,0.9113341786318913,0.9223382206965764,0.918160145743022,0.9152960451954912,0.9153206590207523,0.9137562543896178,0.9175783618546218,0.9161074351512508,0.9097065960743402,0.9172142713088149,0.9156812168066379,0.003393649070849261
5.015896344184876,0.24186960820656292,3.054540729522705,0.47196605176003065,200,10,2,sqrt,30,False,"{'model__n_estimators': 200, 'model__min_samples_split': 10, 'model__min_samples_leaf': 2, 'model__max_features': 'sqrt', 'model__max_depth': 30, 'model__bootstrap': False}",0.8090483368358616,0.7757099778268711,0.7913831181516909,0.8173050980001108,0.8064473313621556,0.8243685502271598,0.7984801869507423,0.7625854622540302,0.8153480217687353,0.8039493600205935,0.8004625443397952,0.018254221919016066,17,0.8805807101680184,0.8891238364715699,0.8879115762512179,0.8849648143325832,0.8856678702492858,0.8797699521453138,0.8922778240387607,0.8876105707541033,0.8801610004614175,0.886458942720754,0.8854527097593025,0.003950833923741279
5.475657677650451,0.9597095218115477,3.1241002798080446,1.0603952204370655,1000,5,4,sqrt,20,False,"{'model__n_estimators': 1000, 'model__min_samples_split': 5, 'model__min_samples_leaf': 4, 'model__max_features': 'sqrt', 'model__max_depth': 20, 'model__bootstrap': False}",0.7637144450528307,0.7391455701500032,0.7518504261691706,0.7668824653636486,0.7578652861239046,0.7794490731837611,0.7561265189778184,0.7285147584177492,0.7683678244487651,0.7601203691817014,0.7572036737069353,0.013940862744677212,23,0.8187397724689796,0.8306565103556817,0.8271156993798087,0.8199974660801259,0.8205750344038496,0.8141225046549028,0.828173366873425,0.8314888165022559,0.8248181218470313,0.8194196715965435,0.8235106964162604,0.005474999572236282
