Model,Train_R2,Test_R2,Train_MAE,Test_MAE
Tuned XGBoost,0.9864,0.8689,1.4909,4.2589
Tuned Random Forest,0.9959,0.8659,0.6685,4.2796
XGBoost,0.980265784019132,0.863423187405397,1.888147195650128,4.409449494584872
Random Forest,0.981236420549026,0.8624183039813915,1.6252255686854518,4.4110868446378415
Extra Trees,0.9987373225029412,0.8619497206901732,0.1333839294900778,4.162100935814158
CatBoost,0.9237841037792116,0.8369959438202089,3.7792176634604497,5.1440653455604135
